learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
19400.0,0.866862,2.112663904411925E-8,19400.0,88.1,76.19714365723887,76.34194831013916,77.15930902111324,19400.0,116112.0
19500.0,0.8709,2.1247933527661694E-8,19500.0,87.3,74.59390253660878,74.2914979757085,75.76335877862596,19500.0,116112.0
19600.0,0.874418,2.1353608117335373E-8,19600.0,87.5,75.00419929451851,74.84909456740442,75.7751937984496,19600.0,116112.0
19700.0,0.877918,2.1458742018375133E-8,19700.0,87.4,74.80151190928545,74.49392712550608,75.72254335260115,19700.0,116112.0
19800.0,0.881226,2.1558108573986425E-8,19800.0,87.6,75.1888846203099,74.48559670781893,75.96899224806202,19800.0,116112.0
19900.0,0.884525,2.165720478528076E-8,19900.0,88.1,76.19923837562801,75.31120331950207,77.02702702702703,19900.0,116112.0
20000.0,0.887997,2.17614976151122E-8,20000.0,88.2,76.36975328420378,75.36534446764091,77.3076923076923,20000.0,116112.0
20100.0,0.894785,2.1974275948272814E-8,20100.0,87.5,74.95913330555466,74.33264887063655,76.14503816793892,20100.0,121168.0
20200.0,0.898246,2.2083266716864377E-8,20200.0,87.1,74.20371466508823,73.51129363449692,75.0,20200.0,121728.0
20300.0,0.901611,2.2189234337872932E-8,20300.0,87.3,74.56703888239159,73.81443298969073,75.0,20300.0,121728.0
20400.0,0.905426,2.2309372963176835E-8,20400.0,87.2,74.36400706592056,73.8241308793456,74.7534516765286,20400.0,121728.0
20500.0,0.908937,2.24202434760001E-8,20500.0,87.6,75.19672596782775,74.94949494949495,76.01547388781431,20500.0,122064.0
20600.0,0.91227,2.2525493096974165E-8,20600.0,87.1,74.19504544872616,74.09638554216868,74.90272373540856,20600.0,122064.0
20700.0,0.915753,2.2635479424562722E-8,20700.0,87.0,74.00197584983542,73.94789579158316,74.6588693957115,20700.0,122064.0
